"","return_year","prop_Fryer","prop_SIRE","Age","best_source","Comments"
"138",2005,0.891,0.9635036,1.2,"CRITFC","broodstock; Wells = 0.887"
"139",2005,0.039,0.02919708,1.3,"CRITFC","broodstock; Wells = 0.039"
"140",2005,0.023,0,2.1,"CRITFC","broodstock; Wells = 0.023"
"141",2005,0.019,0.03649635,2.2,"CRITFC","broodstock; Wells = 0.023"
"142",2005,0.014,NA,2.3,"CRITFC",NA
"143",2006,0.008,0.00238095238095238,1.1,"SiRE","CNAT - deadpitch ages <-- use"
"144",2006,0.724,0.883333333333333,1.2,"SiRE","CNAT - deadpitch ages"
"145",2006,0.084,0.10952380952381,1.3,"SiRE","CNAT - deadpitch ages"
"146",2006,0.017,0,2.1,"SiRE","CNAT - deadpitch ages"
"147",2006,0.148,0.00476190476190476,2.2,"SiRE","CNAT - deadpitch ages"
"148",2006,0.002,NA,2.3,"SiRE",NA
"149",2007,0.424,0.283116883116883,1.1,"SiRE","CNAT - deadpitch ages <-- use"
"150",2007,0.382,0.511688311688312,1.2,"SiRE","CNAT - deadpitch ages"
"151",2007,0.032,0.12987012987013,1.3,"SiRE","CNAT - deadpitch ages"
"152",2007,0.058,0.0649350649350649,2.1,"SiRE","CNAT - deadpitch ages"
"153",2007,0.093,0.0103896103896104,2.2,"SiRE","CNAT - deadpitch ages"
"154",2007,0.011,NA,2.3,"SiRE",NA
"155",2008,0.074,0.0463821892393321,1.1,"SiRE","CNAT - deadpitch ages"
"156",2008,0.864,0.940630797773655,1.2,"SiRE","CNAT - deadpitch ages"
"157",2008,0.007,0.00927643784786642,1.3,"SiRE","CNAT - deadpitch ages"
"158",2008,0.023,0,2.1,"SiRE","CNAT - deadpitch ages"
"159",2008,0.032,0.00371057513914657,2.2,"SiRE","CNAT - deadpitch ages"
"160",2009,0.125,0.0349794238683128,1.1,"SiRE","CNAT - deadpitch ages"
"161",2009,0.792,0.878600823045268,1.2,"SiRE","CNAT - deadpitch ages"
"162",2009,0.026,0.0534979423868313,1.3,"SiRE","CNAT - deadpitch ages"
"163",2009,0.01,0,2.1,"SiRE","CNAT - deadpitch ages"
"164",2009,0.046,0.0329218106995885,2.2,"SiRE","CNAT - deadpitch ages"
"165",2009,0.001,0,2.3,"SiRE",NA
"166",2010,0.018,0.00881834215167548,1.1,"SiRE","CNAT - deadpitch ages"
"167",2010,0.954,0.894,1.2,"SiRE","CNAT - deadpitch ages"
"168",2010,0.005,0.074,1.3,"SiRE","CNAT - deadpitch ages"
"169",2010,0.006,0.017,2.1,"SiRE","CNAT - deadpitch ages"
"170",2010,0.016,0.006,2.2,"SiRE","CNAT - deadpitch ages"
"171",2011,0.261,0.182,1.1,"SiRE","CNAT - deadpitch ages"
"172",2011,0.592,0.664,1.2,"SiRE","CNAT - deadpitch ages"
"173",2011,0.077,0.071,1.3,"SiRE","CNAT - deadpitch ages"
"174",2011,0.031,0.043,2.1,"SiRE","CNAT - deadpitch ages"
"175",2011,0.037,0.04,2.2,"SiRE","CNAT - deadpitch ages"
"176",2011,0.002,0,2.3,"SiRE",NA
"177",2012,0.017,0.003,1.1,"SiRE","CNAT - deadpitch ages"
"178",2012,0.96,0.971,1.2,"SiRE","CNAT - deadpitch ages"
"179",2012,0.017,0.007,1.3,"SiRE","CNAT - deadpitch ages"
"180",2012,0.001,0.007,2.1,"SiRE","CNAT - deadpitch ages"
"181",2012,0.006,0.012,2.2,"SiRE","CNAT - deadpitch ages"
"182",2013,0.235,0.171,1.1,"CRITFC","Using Fryer, since SIRE age comp does not add up to 100%"
"183",2013,0.634,0.573,1.2,"CRITFC","Using Fryer, since SIRE age comp does not add up to 100%"
"184",2013,0.081,0.024,1.3,"CRITFC","Using Fryer, since SIRE age comp does not add up to 100%"
"185",2013,0,0.012,2.1,"CRITFC","Using Fryer, since SIRE age comp does not add up to 100%"
"186",2013,0.05,0.11,2.2,"CRITFC","Using Fryer, since SIRE age comp does not add up to 100%"
"187",2014,0.175,0.0822,1.1,"SiRE","CNAT - deadpitch ages"
"188",2014,0.819,0.884,1.2,"SiRE","CNAT - deadpitch ages"
"189",2014,0.001,0.03,1.3,"SiRE","CNAT - deadpitch ages"
"190",2014,0.001,0,2.1,"SiRE","CNAT - deadpitch ages"
"191",2014,0.004,0.004,2.2,"SiRE","CNAT - deadpitch ages"
"192",2015,0.001,0.002,1.1,"CRITFC","NB: 2015 was DEATH year for Columbia sox because of high temps"
"193",2015,0.975,0.947,1.2,"CRITFC","mortalities between BON and Wells unknown"
"194",2015,0.001,0.03,1.3,"CRITFC",NA
"195",2015,0,0.003,2.1,"CRITFC","~10% of Ok Sox returned to spawning grounds"
"196",2015,0.022,0.001,2.2,"CRITFC","* sample sizes for ages extremely small - use Fryer age comp"
"197",2016,0.009,0.01,1.1,"SiRE",NA
"198",2016,0.96,0.957,1.2,"SiRE","presuming SIRE age comp from Sp Grds in 2016"
"199",2016,0.007,0.025,1.3,"SiRE",NA
"200",2016,0,0.003,2.1,"SiRE",NA
"201",2016,0.024,0.005,2.2,"SiRE",NA
"202",2017,0.19,0.038,1.1,"SiRE","presuming SIRE age comp from Sp Grds in 2017"
"203",2017,0.527,0.759,1.2,"SiRE",NA
"204",2017,0.221,0.181,1.3,"SiRE",NA
"205",2017,0.036,0.015,2.1,"SiRE",NA
"206",2017,0.022,0.007,2.2,"SiRE",NA
"207",2017,0.004,0,2.3,"SiRE",NA
"208",2018,0.004,0.0026,1.1,"SiRE","based on deadpitch of natural spawners in ""2018 Deadpiitch Adult Sockeye BioData.xlsx 10/21/2020"
"209",2018,0.956,0.971,1.2,"SiRE","based on deadpitch of natural spawners in ""2018 Deadpiitch Adult Sockeye BioData.xlsx 10/21/2021"
"210",2018,0.011,0.021,1.3,"SiRE","based on deadpitch of natural spawners in ""2018 Deadpiitch Adult Sockeye BioData.xlsx 10/21/2022"
"211",2018,0.022,0.0026,2.1,"SiRE","based on deadpitch of natural spawners in ""2018 Deadpiitch Adult Sockeye BioData.xlsx 10/21/2023"
"212",2018,0.006,0.0026,2.2,"SiRE","based on deadpitch of natural spawners in ""2018 Deadpiitch Adult Sockeye BioData.xlsx 10/21/2024"
"213",2019,0.543,0.185,1.1,"SiRE","Mean %OK = 85.7% from CNAT_Escapement Units _2020.xlsx!%Okanagan - avg of Wells/RIS & RRH/RIS estimates [HS July 2020]"
"214",2019,0.172,0.542,1.2,"SiRE","Fryer's sampling at BON -- 85% OK; 11% Wenatchee; 4% other [prelim. 14/09/2020]"
"215",2019,0.224,0.267,1.3,"SiRE",NA
"216",2019,0.012,0.002,2.1,"SiRE","Ages for 2019 Return year are from Fryer's sampling at BON [prelim, report not finalized, 14/09/2020]"
"217",2019,0.048,0.004,2.2,"SiRE","Ages for 2019 now from deadpitch [11/3/2020]"
"218",2019,0.001,0,2.3,"SiRE",NA
"219",2020,0.009,0.011,1.1,"SiRE","Deadpitch age comp from ONA to AO [2024-03-23]"
"220",2020,0.986,0.971,1.2,"SiRE","275.5298105584082"
"221",2020,0.002,0.018,1.3,"SiRE","271396.8634000321"
"222",2020,0.001,NA,2.1,"SiRE","0"
"223",2020,0.002,NA,2.2,"SiRE","275.5298105584082"
"224",2020,0,NA,2.3,"SiRE","551.0596211168164"
"225",2021,0.253,0.178,1.1,"SiRE","Deadpitch age comp from ONA to AO [2024-03-23]"
"226",2021,0.598,0.765,1.2,"SiRE",NA
"227",2021,0.114,0.057,1.3,"SiRE",NA
"228",2021,0.03,NA,2.1,"SiRE",NA
"229",2021,0.005,NA,2.2,"SiRE",NA
"230",2021,0,NA,2.3,"SiRE",NA
"231",2022,0.02,0.019,1.1,"SiRE","Deadpitch age comp from ONA to AO [2024-03-23]"
"232",2022,0.944,0.861,1.2,"SiRE",NA
"233",2022,0.023,0.12,1.3,"SiRE",NA
"234",2022,0.008,NA,2.1,"SiRE",NA
"235",2022,0.004,NA,2.2,"SiRE",NA
"236",2022,0,NA,2.3,"SiRE",NA
"237",2023,NA,0.089,1.1,"SiRE","Deadpitch age comp from ONA to AO [2024-03-23]"
"238",2023,NA,0.812,1.2,"SiRE",NA
"239",2023,NA,0.096,1.3,"SiRE",NA
"240",2023,NA,0.003,2.1,"SiRE",NA
"241",2023,NA,NA,2.2,"SiRE",NA
"242",2023,NA,NA,2.3,"SiRE",NA
